track_id,album_listens,album_comments,artist_favorites,artist_comments,track_interest,track_favorites,track_listens
2,6073,0,9,0,4656,2,1293
3,6073,0,9,0,1470,1,514
5,6073,0,9,0,1933,6,1151
10,47632,0,74,3,54881,178,50135
20,2710,0,10,2,978,0,361
26,2710,0,10,2,1060,0,193
30,2710,0,10,2,718,0,612
46,2710,0,10,2,252,0,171
48,2710,0,10,2,247,0,173
134,6073,0,9,0,1126,3,943
135,3331,1,0,1,2484,0,1832
136,3331,1,0,1,1948,0,1498
137,1681,1,5,0,2559,2,1278
138,1681,1,5,0,1909,2,489
139,1304,0,11,0,702,3,582
140,1300,1,11,0,1593,5,1299
141,1304,0,11,0,839,1,725
142,845,0,11,0,1223,6,848
144,2014,0,7,1,1146,1,1143
145,2014,0,7,1,968,1,883
146,1446,0,7,1,855,5,690
147,1446,0,7,1,930,2,766
148,1831,0,0,0,2437,1,1831
149,858,0,1,0,1103,1,453
150,858,0,1,0,1071,0,407
151,244,0,0,0,701,0,148
152,244,0,0,0,637,0,98
153,628,0,0,0,354,5,424
154,628,0,0,0,242,1,205
155,197,0,0,0,268,1,197
156,1845,1,9,0,345,2,362
157,1845,1,9,0,209,1,190
158,1845,1,9,0,213,1,163
159,1845,1,9,0,170,1,130
160,1845,1,9,0,147,0,110
161,1845,1,9,0,175,0,121
162,1845,1,9,0,176,0,109
163,1845,1,9,0,162,1,94
164,1845,1,9,0,138,0,70
165,1845,1,9,0,159,1,140
166,1845,1,9,0,275,1,180
167,1845,1,9,0,149,1,80
168,1845,1,9,0,151,0,100
169,716,0,2,0,815,1,270
170,193,0,2,0,468,0,122
171,346,0,2,0,582,0,242
172,90,0,2,0,468,0,90
173,716,0,2,0,475,0,177
174,716,0,2,0,405,0,116
175,193,0,2,0,365,0,72
176,346,0,2,0,461,0,104
177,716,0,2,0,529,0,160
178,149,0,2,0,287,1,149
179,226,0,2,0,591,0,226
181,1339,0,76,10,1736,8,1339
182,5289,0,76,10,5990,19,5547
183,869,0,76,10,1264,9,869
184,831,2,76,10,1197,9,831
185,1042,0,76,10,1426,13,1043
188,12333,0,7,1,3137,1,1253
189,894,0,7,1,730,1,101
190,12333,0,7,1,1758,1,945
191,894,0,7,1,1224,0,64
192,894,0,7,1,472,1,125
193,12333,0,7,1,1679,0,824
194,12333,0,7,1,1780,1,754
195,894,0,7,1,567,1,138
196,894,0,7,1,524,0,75
197,12333,0,7,1,2286,1,833
198,12333,0,7,1,1784,2,451
199,894,0,7,1,459,0,38
200,12333,0,7,1,1945,1,772
201,894,0,7,1,870,1,150
202,894,0,7,1,682,0,46
203,12333,0,7,1,1737,2,603
204,12333,0,7,1,1954,0,688
205,894,0,7,1,556,0,69
